feature_set,model,test_log_loss,test_brier_score,test_ece_10_bins,test_roc_auc,test_accuracy
data_only,decision_tree,0.6471345495884885,0.22742978424010937,0.033051058094919296,0.6722723692415324,0.631201823906199
data_plus_temporal_elo_clustering,decision_tree,0.6290032432727134,0.21941274122481325,0.02312698490653657,0.7010885900359063,0.6440125936380414
data_only,gbdt,0.6397118833989658,0.22427546911415602,0.03908357645247715,0.6889848344291027,0.6340788188036044
data_plus_temporal_elo_clustering,gbdt,0.6241685305721545,0.2176725838214319,0.024572505104393808,0.7070624913207988,0.6465638909998914
data_only,random_forest,0.6376368511521574,0.22352571106427488,0.03338438175399726,0.68945859902155,0.6327217457387906
data_plus_temporal_elo_clustering,random_forest,0.6237571847417331,0.21748068981243507,0.01815782523239738,0.7069931402234632,0.6475952665291499
