model,best_depth,train_accuracy_at_best_depth,validation_accuracy_at_best_depth,test_accuracy,test_roc_auc
decision_tree,8,0.6733733806180792,0.6258278145695364,0.6279991314732385,0.6751522992414214
gbdt,8,0.7971701527104292,0.631581804364347,0.6236564976658343,0.6753805679038595
random_forest,8,0.6725048852862416,0.6387471501465639,0.6328845945065682,0.6895995997568828
