surface_context,match_count,anomaly_score_mean,robust_z_score_mean,knn_score_mean,iforest_score_mean,anomaly_flag_rate
Unknown,71,0.13584675448433509,0.884758523729758,0.06531696845424886,0.3093160253536753,0.07042253521126761
Grass,10887,0.08588418423912403,1.1386627610271052,0.0347182947101028,0.17745976658370752,0.05244787361072839
Clay,29105,0.08476318466284904,1.2257759285048397,0.0345898836854279,0.16991343321051403,0.05256828723587013
Hard,50715,0.08247271462652969,1.2347026053501982,0.03174754329300559,0.1654425294826417,0.049886621315192746
Carpet,1334,0.05516922599549827,1.0810500991689487,0.01695611159820397,0.10592866620450883,0.047976011994003
