event_id,match_id,match_date,team1_player_id,team2_player_id,surface_context,anomaly_score,robust_z_anomaly_score,knn_anomaly_score,iforest_anomaly_score,anomaly_flag
9410,QS010,2023-09-27,M0D8,MP20,Unknown,0.9829756100806549,19.353069887293195,0.9563296615263083,0.9925971687156565,1
429,QS010,2025-10-13,R0IU,M0JZ,Unknown,0.9537163606122502,18.75212374139021,0.8999494037585766,0.9925971687156565,1
573,QS009,2014-10-20,W503,G944,Unknown,0.9316414937561442,17.873013576634225,0.9636530260549055,0.9085996059532845,1
573,QS018,2015-10-26,SE73,KI74,Unknown,0.9161728910471956,17.61114256122137,0.9309291307096096,0.9085996059532845,1
429,MS018,2021-11-07,B0JG,PL56,Unknown,0.9128019310459257,17.78037998872613,0.8279765802407352,0.9925971687156565,1
6003,QS014,2015-09-28,P701,AB68,Unknown,0.9112672438608357,17.459748990600858,0.9241220130982152,0.9085996059532845,1
418,QS020,2017-07-31,PG94,RD46,Unknown,0.9029156010502497,17.32581206432772,0.9041154067427094,0.9105490546712107,1
1720,QS012,2013-09-23,BK41,SC47,Unknown,0.8972120105025644,17.676847040244407,0.7866160799942004,0.9925971687156565,1
6967,QS013,2015-09-28,MI01,X014,Unknown,0.880587807336021,16.877333887204784,0.8605635584642112,0.9105490546712107,1
5014,QS024,2012-10-07,L575,G820,Unknown,0.8786272158819698,16.855400780530026,0.8701168371008188,0.89625993549059,1
439,QS012,2014-07-21,SP80,BH09,Unknown,0.8715852670266179,17.13082138072173,0.7625945371268963,0.9682665541772526,1
560,MS093,2024-08-26,F0I8,SX50,Unknown,0.8586242735800494,16.960653655201387,0.7082716550110736,0.9925971687156565,1
6932,QS013,2017-02-20,CF59,MW75,Unknown,0.8582644867462671,16.2689037544694,0.8331719887088942,0.9027591673782956,1
741,QS018,2013-06-17,HB89,TB90,Unknown,0.8565075433344868,11.694124349479097,1.0,0.9696777395019563,1
429,QS011,2024-10-14,T0A1,S0KG,Unknown,0.854616905405902,16.445628900975585,0.8071554893328207,0.9085996059532845,1
337,MS011,2011-10-24,D632,TB69,Unknown,0.8512049732147265,16.249643704092758,0.8052098361015979,0.9105490546712107,1
440,QS021,2015-06-08,MN03,D776,Unknown,0.8510284340535454,16.666511095591435,0.725182747460835,0.9682665541772526,1
321,QS009,2022-06-06,MJ71,M0OW,Unknown,0.8506693430827541,16.077082999606073,0.8204085711649117,0.9027591673782956,1
429,QS004,2019-10-14,RB49,PL56,Unknown,0.8461222799062841,16.047511954126428,0.7382168473425303,0.9728546930651176,1
337,QS014,2013-10-14,BE67,LA50,Unknown,0.843795633203214,16.232054183550947,0.7839008115715572,0.9105490546712107,1
6967,QS018,2015-09-28,CM82,N598,Unknown,0.8437025093822855,16.696939826445096,0.6719447604093496,0.9979369645369616,1
5014,QS021,2013-10-07,P701,W741,Unknown,0.842774334673556,16.183641694359252,0.7833663118136344,0.9105490546712107,1
5014,QS020,2012-10-07,BA23,Z371,Unknown,0.8422431325802714,16.219938410297708,0.7941654388125718,0.89625993549059,1
421,QS020,2017-08-07,LB06,K964,Unknown,0.842037671685763,16.805199374906476,0.6592310009260175,1.0,1
439,QS012,2017-07-17,S0CD,TA29,Unknown,0.8383311218231828,16.705690116275463,0.660713219237649,0.9925971687156565,1
