model,best_depth,train_accuracy_at_best_depth,validation_accuracy_at_best_depth,test_accuracy,test_roc_auc
decision_tree,8,0.68149743070131,0.6358158723265661,0.6246335902725003,0.6812147945345701
gbdt,8,0.8057465441123254,0.6372272283139724,0.6279448485506459,0.6835952103929117
random_forest,8,0.6761417094883115,0.6392899793724894,0.6330474432743459,0.6937574830022623
