model,max_depth,min_samples_leaf,n_estimators,validation_accuracy,validation_log_loss,elapsed_fit_seconds,elapsed_total_seconds,learning_rate,subsample
gbdt,3,5,100,0.6527521441754424,0.6161143279280178,20.513080363161862,201.28144460101612,0.1,0.7
random_forest,9,5,300,0.6539463684724786,0.6164556097458211,1.182680906029418,27.161978038959205,,
