model,best_depth,train_accuracy_at_best_depth,validation_accuracy_at_best_depth,test_accuracy,test_roc_auc
decision_tree,8,0.6836324817254107,0.6484095103680382,0.6398870915210075,0.6946758737640055
gbdt,8,0.8058731996815517,0.6483552274454457,0.6364672673976767,0.6942019028922679
random_forest,8,0.6866179344286024,0.6531864075561828,0.647106720225817,0.7064582049809566
