model,best_depth,train_accuracy_at_best_depth,validation_accuracy_at_best_depth,test_accuracy,test_roc_auc,test_log_loss,test_brier_score,test_ece_10_bins
decision_tree,5,0.6740066584642107,0.6498208663554446,0.6440125936380414,0.7010885900359063,0.6290032432727134,0.21941274122481325,0.02312698490653657
gbdt,3,0.683668669030904,0.6527521441754424,0.6465638909998914,0.7070624913207988,0.6241685305721545,0.2176725838214319,0.024572505104393808
random_forest,9,0.6946153289426069,0.6539463684724786,0.6475952665291499,0.7069931402234632,0.6237571847417331,0.21748068981243507,0.01815782523239738
