model,best_depth,train_accuracy_at_best_depth,validation_accuracy_at_best_depth,test_accuracy,test_roc_auc,test_log_loss,test_brier_score,test_ece_10_bins
decision_tree,5,0.6740066584642107,0.6498208663554446,0.6440125936380414,0.7010885900359063,0.6290032432727134,0.21941274122481325,0.02312698490653657
gbdt,3,0.6877397408988927,0.6553034415372924,0.6453153837802628,0.7063748327855872,0.6255813458355037,0.21821294452213816,0.02971585606168733
random_forest,9,0.691973655641601,0.6537292367821084,0.6474324177613723,0.7073632406320882,0.6238108173237061,0.21748608097744326,0.020874911657728788
