model,best_depth,train_accuracy_at_best_depth,validation_accuracy_at_best_depth,test_accuracy,test_roc_auc,test_log_loss,test_brier_score,test_ece_10_bins
decision_tree,3,0.662860968372295,0.6390728476821192,0.631201823906199,0.6722723692415324,0.6471345495884885,0.22742978424010937,0.033051058094919296
gbdt,3,0.6711297676774988,0.6374986429269351,0.6340788188036044,0.6889848344291027,0.6397118833989658,0.22427546911415602,0.03908357645247715
random_forest,9,0.6793442860244626,0.6399413744436,0.6327217457387906,0.68945859902155,0.6376368511521574,0.22352571106427488,0.03338438175399726
